payment_order_id	Address1	city	state	zip
68405119	917 1st St	 Dallas	TX	75001
68405123	682 Chestnut St	Boston	MA	2215
68405206	669 Spruce St	Los Angeles	CA	90001
68405465	669 Spruce St	Los Angeles	CA	90001
68406064	333 8th St	Los Angeles	CA	90001
68408108	381 Wilson St	San Francisco	CA	94016
68408109	668 Center St	Seattle	WA	98101
68409030	790 Ridge St	Atlanta	GA	30301
68410055	915 Willow St	San Francisco	CA	94016
68412121	83 7th St	Boston	MA	2215
68412122	444 7th St	Los Angeles	CA	90001
68412123	438 Elm St	Seattle	WA	98101
68412131	657 Hill St	Dallas	TX	75001
68412134	186 12th St	Dallas	TX	75001
68412148	253 Johnson St	Atlanta	GA	30301
68412322	149 Dogwood St	New York City	NY	10001
68412444	214 Chestnut St	San Francisco	CA	94016
68412721	20 Hill St	Los Angeles	CA	90001
68413340	20 Hill St	Los Angeles	CA	90001
68414018	433 Hill St	New York City	NY	10001
68414309	771 Ridge St	Los Angeles	CA	90001
68414512	260 Spruce St	Dallas	TX	75001
68414563	513 Church St	Boston	MA	2215
68414907	886 Jefferson St	New York City	NY	10001
68415103	886 Willow St	Los Angeles	CA	90001
68415140	84 Jackson St	Boston	MA	2215
68415344	178 Lincoln St	Atlanta	GA	30301
68415457	146 Jackson St	Portland	OR	97035
68415474	936 Church St	San Francisco	CA	94016
68415543	823 Highland St	Boston	MA	2215
68415947	823 Highland St	Boston	MA	2215
68416059	365 Center St	San Francisco	CA	94016
68416226	365 Center St	San Francisco	CA	94016
68416227	557 5th St	Los Angeles	CA	90001
68416230	765 Cherry St	Seattle	WA	98101
68416339	846 Highland St	Atlanta	GA	30301
68416397	873 6th St	New York City	NY	10001
68416643	600 Maple St	Austin	TX	73301
68417189	352 4th St	Los Angeles	CA	90001
68417307	906 7th St	Portland	OR	97035
68417497	63 Maple St	San Francisco	CA	94016
68417544	383 6th St	Los Angeles	CA	90001
68417646	572 Meadow St	Dallas	TX	75001
68417778	681 11th St	San Francisco	CA	94016
